iteration,loss,q_mean,td_error,action_entropy,reward,avg_reward,eps
0,0.10023386590182781,0.03265718836337328,-0.08413142152130604,0.4272797703742981,-0.17267949879169464,-0.17267949879169464,"tensor(0.9998, device='cuda:0')"
1,0.0968311745673418,0.03261858131736517,-0.0484972782433033,0.4064764827489853,-0.13285361230373383,-0.15276655554771423,"tensor(0.9996, device='cuda:0')"
2,0.10584899969398975,0.03286631591618061,-0.04499093536287546,0.3610864356160164,-0.11541255563497543,-0.14031522224346796,"tensor(0.9994, device='cuda:0')"
3,0.10658852197229862,0.034089699387550354,-0.03882825863547623,0.47278282046318054,-0.1416292041540146,-0.14064371772110462,"tensor(0.9992, device='cuda:0')"
4,0.11732900887727737,0.03646019287407398,-0.08936771005392075,0.4819357693195343,-0.1831231266260147,-0.14913959950208663,"tensor(0.9990, device='cuda:0')"
5,0.12975146248936653,0.04148373566567898,-0.15781385079026222,0.40128616988658905,-0.2704763412475586,-0.16936238979299864,"tensor(0.9988, device='cuda:0')"
6,0.11231731064617634,0.05032686982303858,-0.11990668065845966,0.41836537420749664,-0.20135268568992615,-0.17393243206398828,"tensor(0.9986, device='cuda:0')"
7,0.1483706496655941,0.05614500679075718,-0.16873088106513023,0.5016533806920052,-0.2950282394886017,-0.18906940799206495,"tensor(0.9984, device='cuda:0')"
8,0.14827685430645943,0.05737035442143679,-0.18537770211696625,0.5189793258905411,-0.30032724142074585,-0.2014313894841406,"tensor(0.9982, device='cuda:0')"
9,0.16884466633200645,0.06525937933474779,-0.18934152647852898,0.5902088433504105,-0.3360382616519928,-0.21489207670092583,"tensor(0.9980, device='cuda:0')"
10,0.16238444671034813,0.08253076858818531,-0.12435712106525898,0.4784673973917961,-0.2629670798778534,-0.21926253153519196,"tensor(0.9978, device='cuda:0')"
11,0.16405703127384186,0.11119281873106956,-0.1554055828601122,0.6328231543302536,-0.3608819544315338,-0.23106415010988712,"tensor(0.9976, device='cuda:0')"
12,0.19137997925281525,0.17587820068001747,-0.15901518426835537,0.3671189919114113,-0.29175570607185364,-0.2357327313377307,"tensor(0.9974, device='cuda:0')"
13,0.18502752482891083,0.2518042214214802,-0.10204354487359524,0.25171495229005814,-0.353091835975647,-0.2441155245261533,"tensor(0.9972, device='cuda:0')"
14,0.1748209185898304,0.2701427862048149,-0.09921842627227306,0.5790952183306217,-0.390154093503952,-0.25385142912467323,"tensor(0.9970, device='cuda:0')"
15,0.18173618242144585,0.2844653055071831,-0.0759716141037643,0.6263350993394852,-0.4319499135017395,-0.26498258439823985,"tensor(0.9968, device='cuda:0')"
16,0.204832561314106,0.34270670264959335,-0.03347640298306942,0.763614721596241,-0.32782548666000366,-0.2686792257077554,"tensor(0.9966, device='cuda:0')"
17,0.20043595507740974,0.34200090914964676,-0.024339532013982534,0.40915442258119583,-0.4405413866043091,-0.2782271235353417,"tensor(0.9964, device='cuda:0')"
18,0.1988723874092102,0.32529374957084656,-0.0635685520246625,0.7237547188997269,-0.41390636563301086,-0.28536813627732427,"tensor(0.9962, device='cuda:0')"
19,0.20555048808455467,0.36660634726285934,0.009686495177447796,1.020561844110489,-0.3579510748386383,-0.28899728320539,"tensor(0.9960, device='cuda:0')"
20,0.20227021351456642,0.3709489777684212,-0.018777939258143306,0.9208800345659256,-0.41327419877052307,-0.29491523156563443,"tensor(0.9958, device='cuda:0')"
21,0.20782630518078804,0.3640691563487053,0.01905395113863051,0.0,-0.41577979922294617,-0.3004090755500577,"tensor(0.9956, device='cuda:0')"
22,0.19854436442255974,0.34197770804166794,0.0038755997084081173,0.0,-0.3645821809768677,-0.30319921056861465,"tensor(0.9954, device='cuda:0')"
23,0.18084466457366943,0.37216152250766754,-0.034489494864828885,0.0,-0.4626534879207611,-0.30984313879162073,"tensor(0.9952, device='cuda:0')"
24,0.2011844962835312,0.4524384066462517,0.043079758528620005,0.0,-0.5154687762260437,-0.31806816428899765,"tensor(0.9950, device='cuda:0')"
25,0.20608610659837723,0.4365353658795357,0.05405136966146529,0.2918026610277593,-0.47815757989883423,-0.3242254495047606,"tensor(0.9948, device='cuda:0')"
26,0.21927762031555176,0.3887905776500702,-0.023912287084385753,0.0,-0.42630836367607117,-0.3280062981777721,"tensor(0.9946, device='cuda:0')"
27,0.20634320005774498,0.44199391454458237,-0.011630489258095622,0.0,-0.5091238021850586,-0.3344747804637466,"tensor(0.9944, device='cuda:0')"
28,0.2311047501862049,0.4734433963894844,0.08495361963286996,0.07955113425850868,-0.45428937673568726,-0.33860631826622734,"tensor(0.9942, device='cuda:0')"
29,0.2097681313753128,0.42190390080213547,-0.0026224986650049686,0.0,-0.4749349355697632,-0.3431506055096785,"tensor(0.9940, device='cuda:0')"
30,0.2061893492937088,0.44096091389656067,0.01773328660055995,0.0,-0.5584204792976379,-0.3500947949867095,"tensor(0.9938, device='cuda:0')"
31,0.20932987332344055,0.5021558552980423,0.05277600162662566,0.0,-0.4586993157863617,-0.3534886862616986,"tensor(0.9936, device='cuda:0')"
32,0.19645579159259796,0.4719765856862068,0.06873716600239277,0.0,-0.4448900818824768,-0.3562584255229343,"tensor(0.9934, device='cuda:0')"
33,0.20331858471035957,0.4221358969807625,-0.005754522164352238,0.0,-0.47221803665161133,-0.3596690023208366,"tensor(0.9932, device='cuda:0')"
34,0.2096102498471737,0.4706517159938812,0.05463551403954625,0.0,-0.4861178696155548,-0.3632818271006857,"tensor(0.9930, device='cuda:0')"
35,0.2457234337925911,0.5002055540680885,0.06023305281996727,0.2611284703016281,-0.471108615398407,-0.36627701566451126,"tensor(0.9928, device='cuda:0')"
36,0.2152084819972515,0.4957953914999962,0.04402416665107012,0.006389865186065435,-0.5238276124000549,-0.37053513990060705,"tensor(0.9926, device='cuda:0')"
37,0.23408706486225128,0.4813237264752388,0.06040200870484114,0.0,-0.4342857599258423,-0.37221278779600797,"tensor(0.9924, device='cuda:0')"
38,0.22755609825253487,0.4551779627799988,0.02179490472190082,0.0,-0.4983820915222168,-0.37544789814796203,"tensor(0.9922, device='cuda:0')"
39,0.19853724911808968,0.5312453284859657,0.032129060477018356,0.32739800214767456,-0.49785763025283813,-0.3785081414505839,"tensor(0.9920, device='cuda:0')"
40,0.24107561632990837,0.6483510434627533,0.0797507856041193,0.5076830387115479,-0.5037665963172913,-0.38156322571562556,"tensor(0.9918, device='cuda:0')"
41,0.2060733586549759,0.5717192143201828,-0.006062900181859732,0.0693407985381782,-0.5979182124137878,-0.3867145349227247,"tensor(0.9916, device='cuda:0')"
42,0.23134712129831314,0.5692829787731171,0.009468775242567062,0.36615663580596447,-0.6205534934997559,-0.39215265023846957,"tensor(0.9914, device='cuda:0')"
43,0.23111234232783318,0.6205550581216812,0.04842139920219779,0.08848053542897105,-0.6110411286354065,-0.39712738838385453,"tensor(0.9912, device='cuda:0')"
44,0.22601018846035004,0.5784534215927124,0.05949059035629034,0.0,-0.613470196723938,-0.4019350063469675,"tensor(0.9910, device='cuda:0')"
45,0.22237254306674004,0.5411221981048584,0.00929038692265749,0.0,-0.5973265767097473,-0.40618264918094094,"tensor(0.9908, device='cuda:0')"
46,0.21021376177668571,0.6074808984994888,0.06589202955365181,0.0,-0.5866379141807556,-0.41002212290434126,"tensor(0.9906, device='cuda:0')"
47,0.24062292277812958,0.5774102658033371,0.040000210516154766,0.0,-0.584749698638916,-0.4136622807321449,"tensor(0.9904, device='cuda:0')"
