iteration,loss,q_mean,td_error,action_entropy,reward,avg_reward,global_reward,avg_global_reward,eps
0,4.444825530052185,0.034633890725672245,4.843262553215027,0.047904059290885925,4.999218463897705,4.999218463897705,8.462265968322754,8.462265968322754,tensor(0.9990)
1,4.238536834716797,0.03459805715829134,4.6335601806640625,0.03426629304885864,4.671562671661377,4.835390567779541,6.994062423706055,7.728164196014404,tensor(0.9980)
2,3.690764546394348,0.03462758660316467,4.036853671073914,0.07074825465679169,3.9774997234344482,4.549426952997844,6.942812919616699,7.466380437215169,tensor(0.9970)
3,3.5734532475471497,0.034622310660779476,3.9400240182876587,0.06204914301633835,3.9124999046325684,4.390195190906525,9.100625038146973,7.87494158744812,tensor(0.9960)
4,3.411067247390747,0.03462673258036375,3.762383222579956,0.08266925811767578,3.9287500381469727,4.297906160354614,5.151953220367432,7.330343914031983,tensor(0.9950)
5,3.391207218170166,0.034646591171622276,3.7229123711586,0.09409135580062866,3.8430469036102295,4.22209628423055,2.354140520095825,6.5009766817092896,tensor(0.9940)
6,3.207825779914856,0.03462984785437584,3.5055536031723022,0.1552519127726555,3.53070330619812,4.123325858797346,5.893750190734863,6.414230040141514,tensor(0.9930)
7,2.8553117513656616,0.03463859390467405,3.154841184616089,0.13413482531905174,3.2691402435302734,4.016552656888962,3.1547656059265137,6.006796985864639,tensor(0.9920)
8,2.918162167072296,0.034653980284929276,3.2016682624816895,0.18175365775823593,2.9707813262939453,3.9003558423784046,3.1647660732269287,5.6910157733493385,tensor(0.9910)
9,2.7350879907608032,0.03462279308587313,2.9883395433425903,0.22811662033200264,2.8508594036102295,3.795406198501587,1.8764843940734863,5.309562635421753,tensor(0.9900)
10,2.9196834564208984,0.03460292238742113,3.167611837387085,0.2518889084458351,3.2105467319488525,3.6165390253067016,2.3445310592651367,4.697789144515991,tensor(0.9891)
11,2.7154927849769592,0.03461830224841833,2.979361355304718,0.15108859166502953,2.695937395095825,3.4189764976501467,2.9820313453674316,4.296586036682129,tensor(0.9881)
12,2.8186797499656677,0.034635381773114204,3.1154698729515076,0.26565811410546303,2.9939064979553223,3.320617175102234,2.544062376022339,3.856710982322693,tensor(0.9871)
13,2.8285695910453796,0.034668262116611004,3.121494710445404,0.2172212153673172,2.8854684829711914,3.217914032936096,1.655312418937683,3.112179720401764,tensor(0.9861)
14,2.62019145488739,0.034676823765039444,2.866186201572418,0.2511737011373043,2.7863283157348633,3.1036718606948854,1.3635156154632568,2.7333359599113463,tensor(0.9851)
